adduser	3.152
apparmor	4.1.0-1
apt	3.0.3
apt-listchanges	4.8
apt-utils	3.0.3
autoconf	2.72-3.1
automake	1:1.17-4
autopoint	0.23.1-2
autotools-dev	20240727.1
base-files	13.8+deb13u6
base-passwd	3.6.7
bash	5.2.37-2+b9
bash-completion	1:2.16.0-7
bind9-host	1:9.20.26-1~deb13u1
bind9-libs:amd64	1:9.20.26-1~deb13u1
binutils	2.44-3
binutils-common:amd64	2.44-3
binutils-x86-64-linux-gnu	2.44-3
bsdextrautils	2.41.5-0+deb13u1
bsdutils	1:2.41.5-0+deb13u1
build-essential	12.12
bzip2	1.0.8-6
ca-certificates	20250419
cloud-guest-utils	0.33-1
cloud-image-utils	0.33-1
cloud-init	25.1.4-1+deb13u1
cloud-initramfs-growroot	0.18.debian14
cloud-utils	0.33-1
comerr-dev:amd64	2.1-1.47.2-3+b11
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-x86-64-linux-gnu	14.2.0-19
cpp-x86-64-linux-gnu	4:14.2.0-1
curl	8.14.1-2+deb13u4
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
debconf	1.5.91
debhelper	13.24.2
debian-archive-keyring	2025.1
debianutils	5.23.2
debootstrap	1.0.141
dh-autoreconf	20
dh-strip-nondeterminism	1.14.1-2
dhcpcd-base	1:10.1.0-11+deb13u3
diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b4
distro-info	1.13
distro-info-data	0.66+deb13u2
dmsetup	2:1.02.205-2
dosfstools	4.2-1.2
dpkg	1.22.22
dpkg-dev	1.22.22
dracut-install	106-6
dwz	0.15-1+b1
e2fsprogs	1.47.2-3+b11
eject	2.41.5-0+deb13u1
ethtool	1:6.14.2-1
fakeroot	1.37.1.1-1
fdisk	2.41.5-0+deb13u1
file	1:5.46-5
findutils	4.10.0-3
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-x86-64-linux-gnu	14.2.0-19
g++-x86-64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-base:amd64	14.2.0-19
gcc-14-x86-64-linux-gnu	14.2.0-19
gcc-x86-64-linux-gnu	4:14.2.0-1
gdisk	1.0.10-2
genisoimage	9:1.1.11-4
gettext	0.23.1-2
gettext-base	0.23.1-2
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
gnat	14.1
gnat-14	14.2.0-19
gnat-14-x86-64-linux-gnu	14.2.0-19
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gpg	2.4.7-21+deb13u1+b4
gpg-agent	2.4.7-21+deb13u1+b4
gpgconf	2.4.7-21+deb13u1+b4
gpgsm	2.4.7-21+deb13u1+b4
gprbuild	2025.0.0-4
gprconfig-kb	25.0.0-2
grep	3.11-4
groff-base	1.23.0-9
grub-cloud-amd64	0.1.1
grub-common	2.12-9+deb13u2
grub-efi-amd64-bin	2.12-9+deb13u2
grub-efi-amd64-signed	1+2.12+9+deb13u2
grub-efi-amd64-unsigned	2.12-9+deb13u2
grub-pc-bin	2.12-9+deb13u2
grub2-common	2.12-9+deb13u2
gzip	1.13-1
hostname	3.25
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.4
initramfs-tools-bin	0.148.4
