adduser 3.152
apt 3.0.3
base-files 13.8+deb13u6
base-passwd 3.6.7
bash 5.2.37-2+b9
binutils 2.44-3
binutils-common 2.44-3
binutils-x86-64-linux-gnu 2.44-3
bsdutils 1:2.41.5-0+deb13u1
ca-certificates 20250419
cbmc 6.6.0-4
comerr-dev 2.1-1.47.2-3+b11
coreutils 9.7-3
cpp 4:14.2.0-1
cpp-14 14.2.0-19
cpp-14-x86-64-linux-gnu 14.2.0-19
cpp-x86-64-linux-gnu 4:14.2.0-1
curl 8.14.1-2+deb13u4
dash 0.5.12-12
dbus 1.16.2-2
dbus-bin 1.16.2-2
dbus-daemon 1.16.2-2
dbus-session-bus-common 1.16.2-2
dbus-system-bus-common 1.16.2-2
debconf 1.5.91
debian-archive-keyring 2025.1
debianutils 5.23.2
diffutils 1:3.10-4
dpkg 1.22.22
findutils 4.10.0-3
gcc 4:14.2.0-1
gcc-14 14.2.0-19
gcc-14-base 14.2.0-19
gcc-14-x86-64-linux-gnu 14.2.0-19
gcc-x86-64-linux-gnu 4:14.2.0-1
gettext 0.23.1-2
gettext-base 0.23.1-2
git 1:2.47.3-0+deb13u1
git-man 1:2.47.3-0+deb13u1
gnat 14.1
gnat-14 14.2.0-19
gnat-14-x86-64-linux-gnu 14.2.0-19
gpg 2.4.7-21+deb13u1+b4
gpg-agent 2.4.7-21+deb13u1+b4
gpgconf 2.4.7-21+deb13u1+b4
gpgv 2.4.7-21+deb13u1+b4
gprbuild 2025.0.0-4
gprconfig-kb 25.0.0-2
grep 3.11-4
gzip 1.13-1
hostname 3.25
init-system-helpers 1.69~deb13u1
krb5-multidev 1.21.3-5+deb13u1
libacl1 2.3.2-2+b1
libacl1-dev 2.3.2-2+b1
libapparmor1 4.1.0-1
libapt-pkg7.0 3.0.3
libarchive-dev 3.7.4-4+deb13u1
libarchive13t64 3.7.4-4+deb13u1
libasan8 14.2.0-19
libassuan9 3.0.2-2
libatomic1 14.2.0-19
libattr1 1:2.5.2-3
libattr1-dev 1:2.5.2-3
libaudit-common 1:4.0.2-2
libaudit1 1:4.0.2-2+b2
libbinutils 2.44-3
libblkid1 2.41.5-0+deb13u1
libbrotli-dev 1.1.0-2+b7
libbrotli1 1.1.0-2+b7
libbsd0 0.12.2-2
libbz2-1.0 1.0.8-6
libbz2-dev 1.0.8-6
libc-bin 2.41-12+deb13u3
libc-dev-bin 2.41-12+deb13u3
libc6 2.41-12+deb13u3
libc6-dev 2.41-12+deb13u3
libcap-dev 1:2.75-10+deb13u1+b1
libcap-ng0 0.8.5-4+b1
libcap2 1:2.75-10+deb13u1+b1
libcc1-0 14.2.0-19
libcom-err2 1.47.2-3+b11
libcrypt-dev 1:4.4.38-1
libcrypt1 1:4.4.38-1
libctf-nobfd0 2.44-3
libctf0 2.44-3
libcurl3t64-gnutls 8.14.1-2+deb13u4
libcurl4-openssl-dev 8.14.1-2+deb13u4
libcurl4t64 8.14.1-2+deb13u4
libdb5.3t64 5.3.28+dfsg2-9
libdbus-1-3 1.16.2-2
libdebconfclient0 0.280
liberror-perl 0.17030-1
libevent-2.1-7t64 2.1.12-stable-10+b1
libexpat1 2.8.3-1~deb13u1
libext2fs-dev 1.47.2-3+b11
libext2fs2t64 1.47.2-3+b11
libffi8 3.4.8-2
libgcc-14-dev 14.2.0-19
libgcc-s1 14.2.0-19
libgcrypt20 1.11.0-7+deb13u1
libgdbm-compat4t64 1.24-2
libgdbm6t64 1.24-2
libgmp-dev 2:6.3.0+dfsg-3
libgmp10 2:6.3.0+dfsg-3
libgmpxx4ldbl 2:6.3.0+dfsg-3
libgnat-14 14.2.0-19
libgnatprj12 2025.0.0-4
libgnutls-dane0t64 3.8.9-3+deb13u4
libgnutls-openssl27t64 3.8.9-3+deb13u4
libgnutls28-dev 3.8.9-3+deb13u4
libgnutls30t64 3.8.9-3+deb13u4
libgomp1 14.2.0-19
libgpg-error0 1.51-4
libgprofng0 2.44-3
libgssapi-krb5-2 1.21.3-5+deb13u1
libgssrpc4t64 1.21.3-5+deb13u1
libhogweed6t64 3.10.1-1
libhwasan0 14.2.0-19
libidn2-0 2.3.8-2
libidn2-dev 2.3.8-2
libisl23 0.27-1
libitm1 14.2.0-19
libjansson4 2.14-2+b3
libk5crypto3 1.21.3-5+deb13u1
libkadm5clnt-mit12 1.21.3-5+deb13u1
libkadm5srv-mit12 1.21.3-5+deb13u1
libkdb5-10t64 1.21.3-5+deb13u1
libkeyutils1 1.6.3-6
libkrb5-3 1.21.3-5+deb13u1
libkrb5-dev 1.21.3-5+deb13u1
libkrb5support0 1.21.3-5+deb13u1
libksba8 1.6.7-2+b1
liblastlog2-2 2.41.5-0+deb13u1
libldap-dev 2.6.10+dfsg-1
libldap2 2.6.10+dfsg-1
liblsan0 14.2.0-19
liblz4-1 1.10.0-4
liblz4-dev 1.10.0-4
liblzma-dev 5.8.1-1+deb13u1
liblzma5 5.8.1-1+deb13u1
libmd0 1.1.0-2+b1
libmount1 2.41.5-0+deb13u1
libmpc3 1.3.1-1+b3
libmpfr6 4.2.2-1
libncursesw6 6.5+20250216-2
libnettle8t64 3.10.1-1
libnghttp2-14 1.64.0-1.1+deb13u1
libnghttp2-dev 1.64.0-1.1+deb13u1
libnghttp3-9 1.8.0-1
libnghttp3-dev 1.8.0-1
libngtcp2-16 1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8 1.11.0-1+deb13u1
libnpth0t64 1.8-3
libp11-kit-dev 0.25.5-3
libp11-kit0 0.25.5-3
libpam-modules 1.7.0-5
libpam-modules-bin 1.7.0-5
libpam-runtime 1.7.0-5
libpam0g 1.7.0-5
libpcre2-8-0 10.46-1~deb13u1
libperl5.40 5.40.1-6
libpkgconf3 1.8.1-4
libpsl-dev 0.21.2-1.1+b1
libpsl5t64 0.21.2-1.1+b1
libpython3-stdlib 3.13.5-1
libpython3.13-minimal 3.13.5-2+deb13u4
libpython3.13-stdlib 3.13.5-2+deb13u4
libquadmath0 14.2.0-19
libreadline8t64 8.2-6
librtmp-dev 2.4+20151223.gitfa8646d.1-2+b5
librtmp1 2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2 2.1.28+dfsg1-9
libsasl2-modules-db 2.1.28+dfsg1-9
libseccomp2 2.6.0-2
libselinux1 3.8.1-1
libsemanage-common 3.8.1-1
libsemanage2 3.8.1-1
libsepol2 3.8.1-1
libsframe1 2.44-3
libsmartcols1 2.41.5-0+deb13u1
libsodium-dev 1.0.18-1+deb13u1
libsodium23 1.0.18-1+deb13u1
libsqlite3-0 3.46.1-7+deb13u1
libssh2-1-dev 1.11.1-1+deb13u1
libssh2-1t64 1.11.1-1+deb13u1
libssl-dev 3.5.7-1~deb13u2
libssl3t64 3.5.7-1~deb13u2
libstdc++6 14.2.0-19
libsystemd-dev 257.13-1~deb13u1
libsystemd0 257.13-1~deb13u1
libtasn1-6 4.20.0-2+deb13u1
libtasn1-6-dev 4.20.0-2+deb13u1
libtinfo6 6.5+20250216-2
libtsan2 14.2.0-19
libubsan1 14.2.0-19
libudev1 257.13-1~deb13u1
libunbound8 1.22.0-2+deb13u3
libunistring5 1.3-2
libuuid1 2.41.5-0+deb13u1
libxml2 2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml2-dev 2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxmlada-dom9 25.0.0-4
libxmlada-input8 25.0.0-4
libxmlada-sax8 25.0.0-4
libxmlada-schema8 25.0.0-4
libxmlada-unicode8 25.0.0-4
libxxhash-dev 0.8.3-2
libxxhash0 0.8.3-2
libzstd-dev 1.5.7+dfsg-1
libzstd1 1.5.7+dfsg-1
linux-libc-dev 6.12.107-1
login 1:4.16.0-2+really2.41.5-0+deb13u1
login.defs 1:4.17.4-2
make 4.4.1-2
mawk 1.3.4.20250131-1
media-types 13.0.0
minisat 1:2.2.1-8
mount 2.41.5-0+deb13u1
mypy 1.15.0-5
ncurses-base 6.5+20250216-2
ncurses-bin 6.5+20250216-2
netbase 6.5
nettle-dev 3.10.1-1
openssl 3.5.7-1~deb13u2
openssl-provider-legacy 3.5.7-1~deb13u2
passwd 1:4.17.4-2
perl 5.40.1-6
perl-base 5.40.1-6
perl-modules-5.40 5.40.1-6
pinentry-curses 1.3.1-2
pkg-config 1.8.1-4
pkgconf 1.8.1-4
pkgconf-bin 1.8.1-4
python3 3.13.5-1
python3-bcrypt 4.2.0-2.1+b1
python3-certifi 2025.1.31+ds-1
python3-cffi-backend 1.17.1-3
python3-chardet 5.2.0+dfsg-2
python3-charset-normalizer 3.4.2-1
python3-cryptography 43.0.0-3+deb13u1
python3-idna 3.10-1+deb13u1
python3-minimal 3.13.5-1
python3-mypy 1.15.0-5
python3-mypy-extensions 1.0.0-1
python3-psutil 7.0.0-2
python3-requests 2.32.3+dfsg-5+deb13u1
python3-securesystemslib 1.2.0-2
python3-tuf 5.1.0-2
python3-typing-extensions 4.13.2-1
python3-urllib3 2.3.0-3+deb13u2
python3.13 3.13.5-2+deb13u4
python3.13-minimal 3.13.5-2+deb13u4
readline-common 8.2-6
ripgrep 14.1.1-1+b4
rpcsvc-proto 1.4.3-1
sed 4.9-2+deb13u1
sqv 1.3.0-3+b2
sysvinit-utils 3.14-4
tar 1.35+dfsg-3.1
tzdata 2026b-0+deb13u1
util-linux 2.41.5-0+deb13u1
xz-utils 5.8.1-1+deb13u1
zlib1g 1:1.3.dfsg+really1.3.1-1+b1
