Running as unit: run-p247719-i248019.scope; invocation ID: 8a4d2ca4d44046519614b6ef258b4fb4
limited-exec: {"scope": "run-p247719-i248019.scope", "kernel_limits": {"memory.max": "3221225472", "memory.swap.max": "0", "cpu.max": "100000 100000", "pids.max": "128"}}
5.1.0 1.2.0
adduser	3.152
apt	3.0.3
base-files	13.8+deb13u6
base-passwd	3.6.7
bash	5.2.37-2+b9
binutils	2.44-3
binutils-common:amd64	2.44-3
binutils-x86-64-linux-gnu	2.44-3
bsdutils	1:2.41.5-0+deb13u1
ca-certificates	20250419
comerr-dev:amd64	2.1-1.47.2-3+b11
coreutils	9.7-3
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-x86-64-linux-gnu	14.2.0-19
cpp-x86-64-linux-gnu	4:14.2.0-1
curl	8.14.1-2+deb13u4
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.10-4
dpkg	1.22.22
findutils	4.10.0-3
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-base:amd64	14.2.0-19
gcc-14-x86-64-linux-gnu	14.2.0-19
gcc-x86-64-linux-gnu	4:14.2.0-1
gettext	0.23.1-2
gettext-base	0.23.1-2
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
gnat	14.1
gnat-14	14.2.0-19
gnat-14-x86-64-linux-gnu	14.2.0-19
gpg	2.4.7-21+deb13u1+b4
gpg-agent	2.4.7-21+deb13u1+b4
gpgconf	2.4.7-21+deb13u1+b4
gpgv	2.4.7-21+deb13u1+b4
gprbuild	2025.0.0-4
gprconfig-kb	25.0.0-2
grep	3.11-4
gzip	1.13-1
hostname	3.25
init-system-helpers	1.69~deb13u1
krb5-multidev:amd64	1.21.3-5+deb13u1
libacl1:amd64	2.3.2-2+b1
libacl1-dev:amd64	2.3.2-2+b1
libapparmor1:amd64	4.1.0-1
libapt-pkg7.0:amd64	3.0.3
libarchive-dev:amd64	3.7.4-4+deb13u1
libarchive13t64:amd64	3.7.4-4+deb13u1
libasan8:amd64	14.2.0-19
libassuan9:amd64	3.0.2-2
libatomic1:amd64	14.2.0-19
libattr1:amd64	1:2.5.2-3
libattr1-dev:amd64	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1:amd64	1:4.0.2-2+b2
libbinutils:amd64	2.44-3
libblkid1:amd64	2.41.5-0+deb13u1
libbrotli-dev:amd64	1.1.0-2+b7
libbrotli1:amd64	1.1.0-2+b7
libbsd0:amd64	0.12.2-2
libbz2-1.0:amd64	1.0.8-6
libbz2-dev:amd64	1.0.8-6
libc-bin	2.41-12+deb13u3
libc-dev-bin	2.41-12+deb13u3
libc6:amd64	2.41-12+deb13u3
libc6-dev:amd64	2.41-12+deb13u3
libcap-dev:amd64	1:2.75-10+deb13u1+b1
libcap-ng0:amd64	0.8.5-4+b1
libcap2:amd64	1:2.75-10+deb13u1+b1
libcc1-0:amd64	14.2.0-19
libcom-err2:amd64	1.47.2-3+b11
libcrypt-dev:amd64	1:4.4.38-1
libcrypt1:amd64	1:4.4.38-1
libctf-nobfd0:amd64	2.44-3
libctf0:amd64	2.44-3
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u4
libcurl4-openssl-dev:amd64	8.14.1-2+deb13u4
libcurl4t64:amd64	8.14.1-2+deb13u4
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdbus-1-3:amd64	1.16.2-2
libdebconfclient0:amd64	0.280
liberror-perl	0.17030-1
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1
libexpat1:amd64	2.8.3-1~deb13u1
libext2fs-dev	1.47.2-3+b11
libext2fs2t64:amd64	1.47.2-3+b11
libffi8:amd64	3.4.8-2
libgcc-14-dev:amd64	14.2.0-19
libgcc-s1:amd64	14.2.0-19
libgcrypt20:amd64	1.11.0-7+deb13u1
libgdbm-compat4t64:amd64	1.24-2
libgdbm6t64:amd64	1.24-2
libgmp-dev:amd64	2:6.3.0+dfsg-3
libgmp10:amd64	2:6.3.0+dfsg-3
libgmpxx4ldbl:amd64	2:6.3.0+dfsg-3
libgnat-14:amd64	14.2.0-19
libgnatprj12:amd64	2025.0.0-4
libgnutls-dane0t64:amd64	3.8.9-3+deb13u4
libgnutls-openssl27t64:amd64	3.8.9-3+deb13u4
libgnutls28-dev:amd64	3.8.9-3+deb13u4
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgomp1:amd64	14.2.0-19
libgpg-error0:amd64	1.51-4
libgprofng0:amd64	2.44-3
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libgssrpc4t64:amd64	1.21.3-5+deb13u1
libhogweed6t64:amd64	3.10.1-1
libhwasan0:amd64	14.2.0-19
libidn2-0:amd64	2.3.8-2
libidn2-dev:amd64	2.3.8-2
libisl23:amd64	0.27-1
libitm1:amd64	14.2.0-19
libjansson4:amd64	2.14-2+b3
libk5crypto3:amd64	1.21.3-5+deb13u1
libkadm5clnt-mit12:amd64	1.21.3-5+deb13u1
libkadm5srv-mit12:amd64	1.21.3-5+deb13u1
libkdb5-10t64:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5-dev:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
libksba8:amd64	1.6.7-2+b1
liblastlog2-2:amd64	2.41.5-0+deb13u1
libldap-dev:amd64	2.6.10+dfsg-1
libldap2:amd64	2.6.10+dfsg-1
liblsan0:amd64	14.2.0-19
liblz4-1:amd64	1.10.0-4
liblz4-dev:amd64	1.10.0-4
liblzma-dev:amd64	5.8.1-1+deb13u1
liblzma5:amd64	5.8.1-1+deb13u1
libmd0:amd64	1.1.0-2+b1
libmount1:amd64	2.41.5-0+deb13u1
libmpc3:amd64	1.3.1-1+b3
libmpfr6:amd64	4.2.2-1
libncursesw6:amd64	6.5+20250216-2
libnettle8t64:amd64	3.10.1-1
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp2-dev:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libnghttp3-dev:amd64	1.8.0-1
libngtcp2-16:amd64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1+deb13u1
libnpth0t64:amd64	1.8-3
libp11-kit-dev:amd64	0.25.5-3
libp11-kit0:amd64	0.25.5-3
libpam-modules:amd64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam0g:amd64	1.7.0-5
libpcre2-8-0:amd64	10.46-1~deb13u1
libperl5.40:amd64	5.40.1-6
libpkgconf3:amd64	1.8.1-4
libpsl-dev:amd64	0.21.2-1.1+b1
libpsl5t64:amd64	0.21.2-1.1+b1
libpython3-stdlib:amd64	3.13.5-1
libpython3.13-minimal:amd64	3.13.5-2+deb13u4
libpython3.13-stdlib:amd64	3.13.5-2+deb13u4
libquadmath0:amd64	14.2.0-19
libreadline8t64:amd64	8.2-6
librtmp-dev:amd64	2.4+20151223.gitfa8646d.1-2+b5
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsepol2:amd64	3.8.1-1
libsframe1:amd64	2.44-3
libsmartcols1:amd64	2.41.5-0+deb13u1
libsodium-dev:amd64	1.0.18-1+deb13u1
libsodium23:amd64	1.0.18-1+deb13u1
libsqlite3-0:amd64	3.46.1-7+deb13u1
libssh2-1-dev:amd64	1.11.1-1+deb13u1
libssh2-1t64:amd64	1.11.1-1+deb13u1
libssl-dev:amd64	3.5.7-1~deb13u2
libssl3t64:amd64	3.5.7-1~deb13u2
libstdc++6:amd64	14.2.0-19
libsystemd-dev:amd64	257.13-1~deb13u1
libsystemd0:amd64	257.13-1~deb13u1
libtasn1-6:amd64	4.20.0-2+deb13u1
libtasn1-6-dev:amd64	4.20.0-2+deb13u1
libtinfo6:amd64	6.5+20250216-2
libtsan2:amd64	14.2.0-19
libubsan1:amd64	14.2.0-19
libudev1:amd64	257.13-1~deb13u1
libunbound8:amd64	1.22.0-2+deb13u3
libunistring5:amd64	1.3-2
libuuid1:amd64	2.41.5-0+deb13u1
libxml2:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml2-dev:amd64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxmlada-dom9:amd64	25.0.0-4
libxmlada-input8:amd64	25.0.0-4
libxmlada-sax8:amd64	25.0.0-4
libxmlada-schema8:amd64	25.0.0-4
libxmlada-unicode8:amd64	25.0.0-4
libxxhash-dev:amd64	0.8.3-2
libxxhash0:amd64	0.8.3-2
libzstd-dev:amd64	1.5.7+dfsg-1
libzstd1:amd64	1.5.7+dfsg-1
linux-libc-dev	6.12.107-1
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
make	4.4.1-2
mawk	1.3.4.20250131-1
media-types	13.0.0
mount	2.41.5-0+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
