MANIFEST 65a954d321ca8b379efa9c371bdd0add589e4d0721f25e7b74c51766aa8086e4
ARCHIVE 523ebbcbad55ace7443ada3e4f47715f4126574fc2d2c7a2124572db7068ec41
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 1
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 8
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 4
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 7
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 2
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 5
CHOICE b0ecd5748c3fad84146740449a32eddc4c4a5e5df6ceab7cce0016f80690a73f 4
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 9
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 3
CHOICE b2af62acfb65256e95e2555c3046596aedf6974fa746f8f425c14b6ea35867ca 3
CHOICE b2af62acfb65256e95e2555c3046596aedf6974fa746f8f425c14b6ea35867ca 4
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 6
CHOICE 212410eaeddaaa6664e30576da37a01a99554b2e9dceed0d70985d7a9e25e596 10
PASS assertions= 131
